Street_Number,Street_Name,Street_Side,Skytrain_Station_Name,BIA,Number_of_Racks,Year_Installed,Latitude,Longitude,Full_Name
3261,Heather St,West,,,1,Prior 2010,49.2565935,-123.1203429,3261 Heather St
3275,Heather St,West,,,1,2015,49.25635639999999,-123.1203712,3275 Heather St
600,Helmcken St,North,,,3,2012,49.27775159999999,-123.1240657,600 Helmcken St
318,Homer St,East,,,1,Prior 2010,49.2838872,-123.1099994,318 Homer St
1008,Homer St,South,,YT,5,2016,49.2770208,-123.1200688,1008 Homer St
1148,Homer St,East,,,1,2011,49.2756122,-123.1225334,1148 Homer St
1054,Hornby St,East,,,1,2012,49.2799497,-123.125607,1054 Hornby St
1090,Hornby St,East,,,1,2012,49.27955559999999,-123.1262326,1090 Hornby St
535,Howe St,West,,,1,Prior 2010,49.28512509999999,-123.1167263,535 Howe St
595,Howe St,West,,,2,2015,49.2845315,-123.1175058,595 Howe St
39,Kingsway,North,,,3,2015,49.2638958,-123.100093,39 Kingsway
1818,Kingsway,South,,,1,2013,49.2460238,-123.067483,1818 Kingsway
2392,Kingsway,South,,,1,2014,49.2409945,-123.056598,2392 Kingsway
1008,Main St,South,,,1,2012,49.2756499,-123.0996827,1008 Main St
4560,Main St,East,,,1,2015,49.2438066,-123.1011291,4560 Main St
900,Mainland St,West,,,1,2012,49.2773452,-123.1179338,900 Mainland St
2855,Point Grey Rd,North,,,2,2014,49.2716146,-123.1694481,2855 Point Grey Rd
577,Richards St,West,,,1,2011,49.2826827,-123.1142526,577 Richards St
265,Robson St,North,,,1,2016,49.27886549999999,-123.1156681,265 Robson St
275,Robson St,North,,,2,2016,49.2788206,-123.1155357,275 Robson St
350,Robson St,South,,YT,1,2016,49.2790977,-123.1166204,350 Robson St
1025,Robson St,North,,,2,Prior 2010,49.2839864,-123.1232486,1025 Robson St
1290,Robson St,South,,,1,Prior 2010,49.2867723,-123.1285695,1290 Robson St
1701,Robson St,North,,,1,Prior 2010,49.2906798,-123.1338321,1701 Robson St
1741,Robson St,North,,,1,Prior 2010,49.2910408,-123.1344993,1741 Robson St
655,Seymour St,West,Granville St,,4,2012,49.2825149,-123.1166199,655 Seymour St
930,Seymour St,North,,DVBIA,3,2016,49.2792292,-123.120856,930 Seymour St
1067,Seymour St,West,,DVBIA,1,2016,49.2779625,-123.1233504,1067 Seymour St
225,Smithe St,North,,YT,2,2016,49.2774109,-123.1167177,225 Smithe St
535,Thurlow St,West,,,1,2015,49.2871572,-123.1214478,535 Thurlow St
219,Union St,North,,CHTN,1,2012,49.27778530000001,-123.0989703,219 Union St
219,Union St,North,,CHTN,1,2013,49.27778530000001,-123.0989703,219 Union St
241,Union St,North,,CHTN,1,2012,49.2777529,-123.098391,241 Union St
5026,Victoria Drive,East,,VDR,1,2013,49.238702,-123.065214,5026 Victoria Drive
5265,Victoria Drive,West,,VDR,1,2012,49.2369235,-123.0658753,5265 Victoria Drive
5393,Victoria Drive,West,,VDR,1,2012,49.2354391,-123.065682,5393 Victoria Drive
5492,Victoria Drive,East,,VDR,1,2012,49.235102,-123.0652293,5492 Victoria Drive
5501,Victoria Drive,West,,VDR,1,2012,49.2343519,-123.0656884,5501 Victoria Drive
5723,Victoria Drive,West,,VDR,1,2012,49.2323914,-123.065944,5723 Victoria Drive
6404,Victoria Drive,East,,VDR,1,2012,49.2261371,-123.0654903,6404 Victoria Drive
216,Abbott St,East,,GT,2,2012,49.28343539999999,-123.1063868,216 Abbott St
603,Abbott St,West,,HC,1,2014,49.2796131,-123.1078828,603 Abbott St
623,Abbott St,West,,HC,1,2014,49.279346,-123.1078181,623 Abbott St
628,Abbott St,East,,HC,1,2014,49.2793436,-123.107433,628 Abbott St
1600,Alberni St,North,,,1,2012,49.2902668,-123.1312723,1600 Alberni St
2104,Alberta St,East,,,2,2010,49.2664712,-123.1105609,2104 Alberta St
2621,Alma St,West,,,1,Prior 2010,49.2631089,-123.1861027,2621 Alma St
2665,Arbutus St,West,,,1,2015,49.2622847,-123.1532337,2665 Arbutus St
2475,Bayswater St,West,,,1,Prior 2010,49.2644022,-123.171533,2475 Bayswater St
510,Beatty St,East,,,2,2011,49.2809603,-123.1087017,510 Beatty St
546,Beatty St,East,,,2,2016,49.2805376,-123.1092087,546 Beatty St
733,Beatty St,West,,,2,2016,49.278464,-123.1131755,733 Beatty St
788,Beatty St,East,,,2,2016,49.2776489,-123.1134552,788 Beatty St
808,Beatty St,East,,,5,2016,49.2771449,-123.1141291,808 Beatty St
837,Beatty St,West,,YT,2,2016,49.27730099999999,-123.1147181,837 Beatty St
5675,Boundary Rd,West,,,1,Prior 2010,49.2327725,-123.0237625,5675 Boundary Rd
401,Burrard St,West,,,2,2010,49.2871246,-123.1178442,401 Burrard St
1088,Burrard St,East,,,1,2015,49.2801631,-123.1271501,1088 Burrard St
814,Bute St,East,,,1,Prior 2010,49.2856988,-123.1272133,814 Bute St
322,Cambie St,East,,CB,1,2016,49.2829814,-123.1092292,322 Cambie St
548,Cambie St,East,,,1,2016,49.28081770000001,-123.1105529,548 Cambie St
845,Cambie St,West,,YT,3,2014,49.27776129999999,-123.1161946,845 Cambie St
2335,Cambie St,West,,,2,Prior 2010,49.2645942,-123.1151751,2335 Cambie St
8430,Cambie St,East,Marine Drive,,4,2012,49.20955,-123.11707,8430 Cambie St
360,Carrall St,East,,HC,1,2017,49.281765,-123.1041914,360 Carrall St
1100,Chestnut St,East,,,6,2015,49.2754485,-123.1435575,1100 Chestnut St
1215,Clark Drive,West,,,2,2015,49.273891,-123.0775222,1215 Clark Drive
302,Columbia St,East,,,1,Prior 2010,49.2821744,-123.1019702,302 Columbia St
303,Columbia St,West,,,1,2014,49.2122874,-123.1136165,303 Columbia St
1132,Commercial Drive,East,,,1,Prior 2010,49.27440319999999,-123.0693961,1132 Commercial Drive
2279,Commercial Drive,West,,,1,Prior 2010,49.2641784,-123.069971,2279 Commercial Drive
2598,Commercial Drive,East,,,1,Prior 2010,49.26137079999999,-123.0697964,2598 Commercial Drive
2733,Commercial Drive,West,,,2,2015,49.26012739999999,-123.0701818,2733 Commercial Drive
1670,Cypress St,East,,,2,2015,49.27103169999999,-123.1476884,1670 Cypress St
746,Davie St,North,,,1,Prior 2010,49.2774434,-123.1271941,746 Davie St
679,Denman St,West,,,1,Prior 2010,49.2924197,-123.1343079,679 Denman St
935,Denman St,West,,,1,Prior 2010,49.2902518,-123.1376155,935 Denman St
1100,Denman St,East,,,5,Prior 2010,49.2883203,-123.1402162,1100 Denman St
143,Dunlevy Av,West,,STRC,2,2017,49.2833252,-123.0954705,143 Dunlevy Av
111,Dunsmuir St,East,,,2,2016,49.2806371,-123.1108684,111 Dunsmuir St
885,Dunsmuir St,North,,,1,Prior 2010,49.2847759,-123.1179777,885 Dunsmuir St
888,Dunsmuir St,South,,,1,Prior 2010,49.2845926,-123.1183776,888 Dunsmuir St
1680,E 13th Av,South,,,1,2015,49.2584725,-123.0701459,1680 E 13th Av
639,E 15th Av,North,,,1,2012,49.2573223,-123.0902602,639 E 15th Av
112,E 3rd Av,South,,,1,2012,49.2681409,-123.1022701,112 E 3rd Av
7,E 6th Av,North,,,1,2012,49.2658006,-123.1045328,7 E 6th Av
73,E 6th Av,North,,,2,2015,49.2658082,-123.1031315,73 E 6th Av
138,E Cordova St,South,,GT,2,Prior 2010,49.2820512,-123.1009044,138 E Cordova St
573,E Hastings St,North,,STRC,1,2012,49.2813494,-123.0917742,573 E Hastings St
660,E Hastings St,South,,,1,2015,49.281375,-123.0905017,660 E Hastings St
684,E Hastings St,South,,,1,Prior 2010,49.2810121,-123.0899629,684 E Hastings St
